2000,Peace,Kim Dae-jung,South Korea,Male
2001,Chemistry,William S. Knowles,USA,Male
2002,Economics,Daniel Kahneman,Israel,Male
2003,Physics,Alexei Abrikosov,Russia,Male
2004,Peace,Wangari Maathai,Kenya,Female
2005,Chemistry,Richard Schrock,USA,Male
2006,Medicine,Andrew Fire,USA,Male
2007,Peace,Al Gore,USA,Male
2008,Physics,Yoichiro Nambu,Japan,Male
2009,Peace,Barack Obama,USA,Male
2010,Chemistry,Richard F. Heck,USA,Male
2011,Peace,Ellen Johnson Sirleaf,Liberia,Female
2012,Peace,Mo Yan,China,Male
2013,Physics,François Englert,Belgium,Male
2014,Chemistry,Eric Betzig,USA,Male
2015,Economics,Angus Deaton,UK,Male
2016,Peace,Juan Manuel Santos,Colombia,Male
2017,Physics,Kip Thorne,USA,Male
2018,Physics,Donna Strickland,Canada,Female
2019,Chemistry,John B. Goodenough,USA,Male
2020,Medicine,Harvey J. Alter,USA,Male
2021,Peace,Maria Ressa,Philippines,Female
2022,Physics,Alain Aspect,France,Male
2023,Chemistry,Carolyn Bertozzi,USA,Female
2005,Peace,IAEA,Global,Mixed
2012,Medicine,Shinya Yamanaka,Japan,Male
2018,Peace,Dennis Mukwege,Congo,Male
2013,Economics,Eugene Fama,USA,Male
2020,Physics,Roger Penrose,UK,Male
2021,Economics,David Card,Canada,Male
