1901,Economics,Winner0,UK,Male
1902,Economics,Winner1,Japan,Male
1903,Chemistry,Winner2,France,Male
1904,Economics,Winner3,Brazil,Male
1905,Peace,Winner4,Canada,Male
1906,Physics,Winner5,UK,Male
1907,Chemistry,Winner6,Brazil,Male
1908,Peace,Winner7,Germany,Female
1909,Chemistry,Winner8,Kenya,Female
1910,Physics,Winner9,France,Female
1911,Medicine,Winner10,Japan,Male
1912,Chemistry,Winner11,India,Male
1913,Physics,Winner12,Canada,Male
1914,Medicine,Winner13,India,Female
1915,Physics,Winner14,Kenya,Male
1916,Literature,Winner15,UK,Female
1917,Economics,Winner16,Israel,Female
1918,Peace,Winner17,Germany,Male
1919,Physics,Winner18,Germany,Female
1920,Physics,Winner19,Germany,Male
1921,Literature,Winner20,Japan,Female
1922,Economics,Winner21,India,Male
1923,Medicine,Winner22,India,Male
1924,Economics,Winner23,Japan,Male
1925,Peace,Winner24,France,Male
1926,Chemistry,Winner25,Kenya,Female
1927,Medicine,Winner26,Brazil,Male
1928,Economics,Winner27,India,Male
1929,Chemistry,Winner28,USA,Female
1930,Literature,Winner29,Japan,Male
1931,Chemistry,Winner30,Israel,Female
1932,Chemistry,Winner31,Kenya,Female
1933,Economics,Winner32,Kenya,Male
1934,Medicine,Winner33,France,Male
1935,Economics,Winner34,Brazil,Female
1936,Economics,Winner35,Israel,Female
1937,Peace,Winner36,Canada,Female
1938,Chemistry,Winner37,France,Female
1939,Physics,Winner38,USA,Male
1940,Chemistry,Winner39,France,Female
1941,Peace,Winner40,UK,Female
1942,Literature,Winner41,Israel,Female
1943,Peace,Winner42,Japan,Male
1944,Economics,Winner43,UK,Female
1945,Economics,Winner44,India,Male
1946,Medicine,Winner45,Canada,Male
1947,Literature,Winner46,USA,Female
1948,Peace,Winner47,France,Male
1949,Economics,Winner48,Japan,Male
1950,Chemistry,Winner49,India,Male
1951,Peace,Winner50,Brazil,Male
1952,Peace,Winner51,India,Female
1953,Physics,Winner52,UK,Female
1954,Medicine,Winner53,Germany,Male
1955,Chemistry,Winner54,Israel,Male
1956,Physics,Winner55,Kenya,Male
1957,Peace,Winner56,France,Male
1958,Economics,Winner57,Kenya,Male
1959,Medicine,Winner58,Brazil,Female
1960,Chemistry,Winner59,Brazil,Male
1961,Economics,Winner60,Japan,Female
1962,Economics,Winner61,India,Female
1963,Peace,Winner62,Kenya,Male
1964,Chemistry,Winner63,Germany,Male
1965,Medicine,Winner64,USA,Male
1966,Peace,Winner65,Germany,Male
1967,Physics,Winner66,USA,Male
1968,Physics,Winner67,USA,Female
1969,Physics,Winner68,Brazil,Male
